"rev_id","a","b","c","d","e","f","g","h","i","j","k","l","Undetermined"
90491777,0,0,1,0,0,0,0,0,0,0,0,0,0
93238692,0,1,1,0,0,0,0,1,0,0,0,0,1
93238981,0,0,1,0,0,1,0,0,0,0,0,0,1
94598615,0,0,0,0,0,1,0,0,0,0,0,0,1
95660985,0,0,0,0,0,0,0,0,0,0,1,0,1
97028833,0,0,0,0,0,0,0,0,0,0,1,0,1
97718800,0,1,1,0,0,0,1,0,0,0,0,0,0
99766465,0,0,1,0,0,0,0,0,0,0,0,0,1
99793491,0,0,0,0,0,0,0,0,0,0,0,0,1
99862068,0,0,0,0,0,1,0,0,0,0,0,0,0
100101477,0,1,1,0,0,0,0,0,0,0,0,0,0
101851783,0,0,1,0,0,0,0,0,0,0,0,0,1
101852125,0,0,0,0,0,0,0,0,0,0,0,1,1
101852304,0,0,1,0,0,0,0,0,0,0,0,1,0
101852503,0,0,1,0,0,1,0,0,0,0,0,1,0
101852659,0,0,1,0,0,0,0,0,0,0,0,0,1
101862978,0,0,0,0,0,0,0,0,0,0,0,1,1
102047227,0,0,0,0,0,0,0,0,0,0,0,1,0
102139202,0,0,1,0,0,0,0,0,0,0,0,1,0
102706775,1,0,0,0,0,0,0,0,0,0,0,0,1
102720724,0,0,1,0,0,0,0,0,0,0,0,1,0
102751801,1,0,1,0,0,0,0,0,0,0,0,0,1
102752175,0,0,1,0,0,0,0,0,0,0,0,0,1
102772184,1,0,1,0,0,0,0,0,0,0,0,0,0
103776041,0,0,1,0,0,0,0,0,0,0,0,1,0
104318596,0,0,0,0,0,0,0,1,0,0,0,0,0
105034295,1,0,1,0,0,0,0,0,0,0,0,0,1
106803454,1,0,1,0,0,0,0,0,0,0,0,0,1
110627624,0,0,0,0,0,0,0,0,0,0,1,0,1
110652702,0,1,0,0,0,0,0,0,0,0,0,0,0
111747890,1,1,1,0,0,0,1,0,0,0,0,0,1
111792186,0,0,0,0,0,1,0,0,0,0,0,0,0
112436837,0,0,0,0,0,0,0,0,1,0,0,0,0
112437107,0,0,0,0,0,0,0,0,0,1,0,0,0
112682590,1,0,1,0,0,0,0,0,0,0,0,0,1
116163169,0,0,0,0,0,1,0,0,0,0,0,0,0
116543425,0,1,1,0,1,0,0,0,0,0,0,0,0
116769537,0,0,0,0,0,0,0,1,0,0,0,0,0
117554417,0,0,0,0,0,1,0,0,0,0,0,0,0
117613514,0,1,0,0,1,0,0,0,0,0,0,0,0
120980065,0,1,1,0,0,0,0,0,0,0,0,0,0
125261625,0,0,1,0,0,0,0,0,0,0,0,1,0
125467646,0,0,0,0,0,0,0,0,0,0,0,1,0
126577830,1,0,0,0,0,0,0,0,0,0,0,0,0
128440264,0,0,1,0,0,0,0,1,0,0,1,0,1
130639782,0,1,1,0,0,0,0,0,0,0,0,0,0
131109547,0,1,1,0,0,0,0,0,0,0,0,0,1
131861451,1,0,1,0,0,1,0,0,0,0,0,0,1
133133390,0,1,1,0,0,0,0,0,0,0,0,0,0
133640521,0,1,1,0,0,0,0,0,0,0,1,0,0
134146776,0,0,1,0,0,0,0,0,0,0,0,1,0
134156019,0,0,1,0,1,0,1,0,0,0,1,0,0
134156108,0,0,0,0,0,0,0,0,0,0,0,0,1
134156208,0,0,0,0,0,0,0,0,0,0,0,0,1
134170167,0,0,1,0,0,0,0,0,0,0,0,1,0
134222881,0,0,0,0,0,0,0,0,1,0,0,0,0
134223203,0,0,0,0,0,0,0,0,0,0,0,0,1
134223240,0,0,0,0,0,0,0,0,0,0,0,0,1
134223260,0,0,0,0,0,0,0,0,0,0,0,0,1
134223288,0,0,0,0,0,0,0,0,0,0,0,0,1
134223310,0,0,0,0,0,0,0,0,0,0,0,0,1
134223325,0,0,0,0,0,0,0,0,0,0,0,0,1
134287099,0,0,0,0,0,0,0,0,0,1,0,0,0
136457516,0,1,0,0,1,0,0,0,0,0,0,0,0
138801754,0,1,1,0,0,0,0,0,0,0,0,0,0
138852335,0,0,0,0,0,0,0,0,0,1,0,0,0
139117486,0,0,1,0,1,0,0,0,0,0,0,0,0
139475955,1,0,1,0,0,0,0,0,0,0,0,0,1
140799286,0,1,1,0,0,0,0,0,0,0,0,0,0
141795345,0,0,0,0,0,1,0,0,0,0,0,0,0
142999720,0,0,0,0,1,0,0,0,0,0,0,0,0
144196243,0,1,1,0,0,0,1,0,0,0,1,0,0
144475879,0,0,0,0,0,0,0,0,0,0,0,0,1
144615643,0,1,1,0,0,0,0,0,0,0,0,0,0
144616129,0,1,1,0,1,0,0,0,0,0,0,0,0
144617216,0,0,1,0,0,0,0,1,0,0,0,0,1
144617360,0,0,1,0,0,0,0,1,0,0,1,0,0
144618866,0,1,1,0,1,0,0,0,0,0,1,0,1
144619092,0,0,1,0,0,0,0,0,0,0,1,0,0
144619534,0,1,1,0,0,0,0,0,0,0,0,0,0
144619806,0,0,0,0,0,0,0,0,0,0,0,0,1
144621006,0,1,1,0,0,0,0,0,0,0,0,0,0
144622647,0,0,0,0,0,0,0,0,0,0,1,0,1
144622781,0,0,0,0,0,0,0,0,0,0,1,0,1
144622866,0,0,0,0,0,0,0,1,0,0,1,0,0
144623969,0,1,0,0,1,0,0,0,0,0,0,0,0
144624094,0,1,0,0,1,0,0,0,0,0,0,0,0
144625562,0,1,0,0,0,0,0,0,0,0,0,0,0
144625750,0,0,1,0,0,0,0,0,0,0,0,0,0
144760598,0,1,1,0,0,0,1,0,0,0,0,0,0
144760638,0,0,0,0,0,1,0,0,0,0,0,0,0
146209149,0,0,0,0,0,0,0,1,0,0,0,0,1
147165203,0,0,0,0,0,0,0,0,1,0,0,0,0
147165259,0,0,0,0,0,0,0,0,1,0,0,0,0
147178510,0,0,0,0,0,0,0,0,0,1,0,0,0
147316600,0,0,0,0,0,0,0,0,0,1,0,0,0
148355106,0,0,0,0,0,1,0,0,0,0,0,0,0
148375870,0,0,1,0,0,1,1,1,0,0,0,0,1
149014289,0,0,0,0,0,0,0,0,0,0,0,0,1
150391333,0,0,0,0,0,0,0,0,0,1,0,0,0
152225605,0,0,0,0,0,0,0,1,0,0,0,0,0
153077122,0,1,1,0,0,0,0,0,0,0,0,0,0
155102190,0,0,0,0,0,0,0,1,0,0,0,0,0
155744642,1,0,0,0,0,0,0,0,0,0,0,0,0
155859404,1,0,1,0,0,0,0,0,0,0,0,0,1
155860006,0,0,1,0,0,0,0,0,0,0,0,0,1
155860123,0,0,0,0,0,0,0,0,0,0,0,0,1
155860346,0,0,1,0,0,0,0,0,0,0,0,0,1
155860485,0,0,0,0,0,0,0,0,0,0,0,0,1
155860665,0,0,0,0,0,0,0,0,0,0,0,0,1
155860816,0,0,0,0,0,0,0,0,0,0,0,0,1
155860890,0,0,0,0,0,0,0,0,0,0,0,0,1
160326964,0,0,0,0,0,0,0,0,0,0,1,0,1
160645063,0,0,1,0,0,0,0,0,0,0,0,1,0
160747866,1,0,0,0,0,0,0,0,0,0,0,0,0
164409760,0,0,0,0,0,0,0,0,1,0,0,0,0
164409867,0,0,0,0,0,0,0,0,0,1,0,0,0
165489954,0,0,0,0,0,0,0,0,0,0,0,0,1
169583860,1,0,0,0,0,0,0,0,0,0,0,0,0
169744141,0,0,1,0,0,0,0,0,0,0,0,0,0
177845231,0,0,0,0,0,0,0,0,0,0,0,0,1
177982791,0,1,0,0,0,1,0,0,0,0,0,0,0
179237918,1,0,1,0,0,0,0,0,0,0,0,1,1
179237962,0,0,0,0,0,1,0,0,0,0,0,0,0
179238010,0,0,0,0,0,0,0,0,0,0,0,0,1
179393353,0,0,0,0,0,0,0,0,0,0,0,1,0
179549914,0,1,1,0,0,0,0,0,0,0,0,0,0
179917659,0,1,1,0,0,0,0,0,0,0,0,0,0
180185528,0,1,0,0,1,0,0,0,0,0,0,0,0
180185559,0,1,0,0,1,0,0,0,0,0,0,0,0
181106309,0,0,1,0,0,0,0,0,0,0,0,0,1
182807974,0,0,0,0,0,0,0,0,0,0,0,0,1
186695854,0,0,1,0,0,0,1,0,0,0,0,0,0
188967420,0,0,1,0,0,0,0,0,0,0,0,0,0
189215015,1,0,1,0,0,0,0,0,0,0,0,0,1
189215777,1,1,1,0,0,0,0,0,0,0,0,0,0
189217186,1,0,1,0,1,0,0,1,0,0,0,0,1
192019994,1,0,1,0,0,0,0,0,0,0,0,0,1
192184331,0,1,1,0,0,0,0,0,0,0,0,0,0
192232920,0,1,1,0,0,0,0,0,0,0,0,0,0
192984116,0,0,0,0,0,1,0,0,0,0,0,0,0
193506710,0,1,0,0,1,0,0,0,0,0,0,0,0
195263660,0,0,1,0,1,0,0,0,0,0,0,0,0
198817007,0,0,0,0,0,1,0,0,0,0,0,0,0
200851096,0,1,1,0,0,0,0,0,0,0,1,0,0
200851209,0,0,1,0,0,0,0,0,0,0,0,0,1
201286818,0,1,1,0,0,0,1,0,0,0,0,0,1
201358637,0,1,0,0,0,0,0,0,0,0,0,0,1
201587649,0,1,1,0,0,0,0,0,0,0,0,0,0
201615879,0,0,0,0,0,0,0,0,0,0,0,0,1
202646028,0,1,1,0,0,0,0,0,0,0,0,0,0
202956970,0,0,0,0,0,0,0,1,0,0,0,0,0
202960400,0,0,0,0,0,0,0,1,0,0,0,0,0
204860681,0,0,1,0,0,0,1,0,0,0,0,0,0
204873185,0,0,0,0,0,0,0,0,1,0,0,0,0
204873837,0,0,0,0,0,0,0,0,0,1,0,0,0
205445798,0,0,1,0,1,0,0,0,0,0,0,0,0
207643109,0,1,1,0,0,0,0,0,0,0,0,0,0
211523576,0,0,1,0,0,0,0,0,0,0,0,0,1
211526786,0,0,0,0,0,0,0,1,0,0,0,0,0
211632368,1,0,1,0,0,0,0,1,0,0,0,0,1
213791781,0,1,1,0,0,0,1,0,0,0,0,0,1
219180980,0,1,0,0,1,0,0,0,0,0,0,0,0
219181126,0,0,1,0,0,0,0,0,0,0,0,1,0
219981762,0,0,0,0,0,0,0,0,0,0,0,1,0
222730699,1,0,1,0,0,0,0,0,0,0,0,0,1
223708119,0,0,0,0,0,0,0,0,1,0,0,0,0
223798855,0,0,0,0,0,0,0,0,0,1,0,0,0
228965762,0,0,1,0,0,0,1,0,0,0,0,0,0
230602034,0,1,1,0,0,0,0,0,0,0,1,0,0
233138291,0,0,0,0,0,0,0,0,0,0,0,0,1
233287240,0,0,0,0,0,0,0,0,0,0,0,0,1
235294167,0,0,0,0,0,0,0,0,1,0,0,0,0
235294305,0,0,0,0,0,0,0,0,0,1,0,0,0
235498807,0,0,0,0,0,0,0,0,0,0,0,0,1
235499037,0,0,0,0,0,0,0,0,0,0,0,0,1
235499140,0,0,0,0,0,0,0,0,1,0,0,0,0
235499217,0,0,0,0,0,0,0,0,1,0,0,0,0
235647167,0,0,0,0,0,0,0,0,0,0,0,0,1
236357369,1,0,1,0,0,0,0,0,0,0,0,0,0
240389069,0,1,0,0,0,0,0,0,0,0,0,0,1
250016842,0,1,1,0,0,0,0,0,0,0,0,0,0
252022783,0,0,0,0,0,0,0,0,0,0,0,0,1
253604861,0,1,0,0,1,0,0,0,0,0,0,0,0
253817554,0,1,0,0,0,0,0,0,0,0,0,0,0
253818088,0,0,1,0,0,0,0,0,0,0,0,0,1
254980504,0,0,0,0,0,0,0,0,0,0,0,0,1
255837965,0,0,1,0,0,0,0,0,0,0,0,0,0
255838021,0,0,1,0,0,0,0,0,0,0,0,0,0
255838230,0,0,0,0,0,0,0,0,0,0,0,0,1
259102971,0,0,0,0,0,1,0,0,0,0,0,0,0
259103155,0,0,0,0,0,1,0,0,0,0,0,0,0
260845730,1,0,0,0,0,1,0,1,0,0,0,0,0
260845768,0,0,0,0,0,0,0,1,0,0,0,0,0
262837732,0,0,0,0,0,0,0,0,1,0,0,0,0
262865031,0,0,0,0,0,0,0,0,0,1,0,0,0
266617387,0,0,1,0,1,0,0,0,0,0,0,0,0
266908638,0,1,1,0,0,0,0,0,0,0,0,0,0
270552592,0,1,1,0,0,0,0,0,0,0,0,0,0
271104033,0,0,0,0,0,0,0,1,0,0,0,0,1
273124467,0,1,1,0,1,0,0,0,0,0,0,0,0
273274120,0,0,1,0,1,0,1,0,0,0,0,0,0
277978500,0,1,0,0,1,0,0,0,0,0,0,0,0
278696390,0,0,0,0,0,0,0,0,1,0,0,0,0
278696425,0,0,0,0,0,0,0,0,0,1,0,0,0
280493890,0,0,1,0,1,0,0,0,0,0,1,0,0
281725771,0,1,0,0,0,0,0,0,0,0,0,0,1
281897726,0,1,1,0,1,0,0,0,0,0,0,0,0
284881815,1,0,1,0,0,0,0,0,0,0,0,0,1
286100400,0,1,0,0,1,0,0,0,0,0,0,0,0
286449220,0,1,1,0,0,0,0,0,0,0,0,0,0
287624070,0,0,0,0,1,0,0,0,0,0,0,0,1
319541035,0,0,0,0,0,0,0,0,1,0,0,0,0
319562340,0,0,0,0,0,0,0,0,0,1,0,0,0
320757216,0,0,0,0,0,0,0,0,1,0,0,0,0
320757234,0,0,0,0,0,0,0,0,0,1,0,0,0
326141545,0,1,1,0,0,0,0,0,0,0,0,0,0
326273417,0,0,0,0,0,0,0,0,0,0,0,0,1
326276586,0,0,0,0,0,0,0,1,0,0,1,0,1
331641451,0,0,0,0,0,0,0,0,1,0,0,0,0
331641562,0,0,0,0,0,0,0,0,0,1,0,0,0
341909045,0,1,0,0,1,0,0,0,0,0,0,0,0
343118399,0,0,0,0,0,0,0,0,1,0,0,0,0
343326475,0,0,0,0,0,0,0,0,0,1,0,0,0
344827997,1,1,1,0,0,0,0,0,0,0,0,0,0
352206734,0,1,1,0,0,0,0,0,0,0,0,0,0
353651567,0,0,0,0,0,1,0,0,0,0,0,0,0
360189683,1,0,1,0,0,0,0,0,0,0,0,0,1
365773372,0,0,0,0,0,0,0,1,0,0,0,0,0
371389868,0,1,0,0,1,0,0,0,0,0,0,0,0
381893227,0,1,1,0,0,0,0,0,0,0,0,0,0
389028422,0,1,0,0,1,0,0,0,0,0,0,0,0
390730109,0,1,1,0,0,0,0,0,0,0,0,0,0
391991487,0,1,1,0,0,0,1,0,0,0,0,0,1
391991740,0,0,0,0,0,0,1,0,0,0,0,0,0
391993139,0,1,1,0,0,0,1,0,0,0,0,0,1
391994107,0,1,0,0,0,0,0,1,0,0,0,0,1
391995688,0,0,1,0,1,0,0,0,0,0,1,0,1
391995809,0,0,0,0,0,1,1,0,0,0,0,0,0
392004910,0,0,1,0,0,0,0,0,0,0,0,0,0
392005496,0,0,0,0,0,0,1,0,0,0,0,0,0
392153506,0,1,0,0,0,0,0,0,0,0,0,0,0
392185035,0,1,1,0,1,0,1,0,0,0,0,0,0
392297124,0,0,1,0,0,0,1,0,0,0,1,0,1
394262090,0,0,0,0,0,0,1,0,0,0,0,0,1
394262838,0,1,1,0,0,0,0,0,0,0,0,0,0
398476277,0,0,1,0,0,0,0,0,0,0,0,0,1
398478048,0,0,1,0,0,0,0,0,0,0,0,0,1
398549457,0,0,0,0,0,1,0,0,0,0,0,0,0
401439016,0,0,0,0,0,0,0,0,1,0,0,0,0
401439153,0,0,0,0,0,0,0,0,0,0,0,0,1
408778999,0,0,1,0,1,0,0,0,0,0,0,0,1
411295830,1,0,1,0,0,0,0,0,0,0,0,0,0
416266663,0,0,0,0,0,1,0,0,0,0,0,0,0
416356424,0,1,1,0,0,0,0,0,0,0,0,0,1
416356456,0,0,0,0,0,1,0,0,0,0,0,0,0
422221214,0,0,0,0,0,1,0,0,0,0,1,0,0
428018005,0,1,0,0,1,0,0,0,0,0,0,0,0
428221257,0,0,0,0,0,0,0,0,0,0,0,0,1
428555201,0,0,1,0,0,0,0,0,0,0,1,0,0
428721088,0,1,1,0,1,0,0,0,0,0,1,0,0
428721411,0,0,1,0,0,0,0,0,0,0,0,0,1
428721601,0,0,1,0,1,0,0,0,0,0,1,0,1
428723095,1,0,1,0,1,0,0,0,0,0,0,1,1
432727280,0,0,0,0,0,0,0,0,0,0,1,0,1
437046065,0,1,1,0,0,0,0,0,0,0,0,0,0
437077515,0,0,1,0,1,0,0,0,0,0,0,0,0
437248854,0,1,1,0,1,0,0,0,0,0,0,0,0
437696290,0,1,0,0,1,0,0,0,0,0,0,0,0
452313476,0,0,0,0,0,0,0,0,0,0,0,0,1
452313533,0,0,0,0,0,0,0,0,0,0,0,0,1
470412595,1,0,1,0,0,0,0,0,0,0,0,0,1
478406673,0,0,0,0,0,0,0,1,0,0,0,0,0
487234402,0,1,0,0,1,0,0,0,0,0,0,0,0
487745032,0,1,0,0,1,0,0,0,0,0,0,0,0
502524298,0,0,0,0,0,1,0,0,0,0,0,0,0
503336897,0,0,0,0,0,0,0,0,0,0,0,0,1
503366186,0,0,0,0,0,0,0,0,0,0,0,0,1
510578979,1,0,1,0,0,0,0,0,0,0,0,0,1
510579122,0,0,0,0,0,1,0,0,0,0,0,0,0
516544426,0,0,1,0,1,0,0,0,0,0,0,0,0
529493956,0,1,0,0,1,0,0,0,0,0,0,0,0
63185031,0,0,0,1,0,0,0,0,0,0,0,0,0
63185598,1,1,1,0,0,0,1,0,0,0,0,1,0
63185616,0,0,0,0,1,0,0,0,0,0,0,0,0
63185694,0,0,1,0,0,0,1,0,0,0,0,0,1
63185723,0,0,0,0,0,1,0,0,0,0,0,0,0
63187577,0,1,1,0,0,0,0,0,0,0,0,0,0
63187648,0,0,0,0,0,0,0,0,0,0,0,0,1
63187670,0,0,1,0,0,0,0,0,0,0,0,0,0
63187690,0,0,0,0,0,0,0,0,0,0,0,0,1
63187761,0,0,0,0,0,0,0,0,0,0,0,0,1
63187785,0,0,0,0,0,0,0,0,0,0,0,0,1
63187804,0,0,0,0,0,0,0,0,0,0,0,0,1
63187821,0,0,0,0,0,0,0,0,0,0,0,0,1
63187862,0,0,0,0,0,1,0,0,0,0,0,0,1
63187901,0,0,0,0,0,0,0,0,0,0,0,0,1
63752206,0,1,0,0,0,0,0,0,0,0,0,0,0
63752339,0,0,0,0,0,1,0,0,0,0,0,0,0
63752372,0,0,0,0,0,0,1,0,0,0,0,0,1
63768102,0,0,0,0,0,1,0,1,0,0,0,0,1
64034941,0,1,0,0,0,0,0,0,0,0,0,0,0
64993466,0,1,0,0,1,0,0,0,0,0,0,0,1
67363513,0,1,0,0,0,0,0,0,0,0,0,0,1
67365014,0,0,1,0,0,1,1,0,0,0,0,0,1
67366354,0,1,1,0,1,1,0,0,0,0,0,0,0
68430685,0,0,0,0,0,0,0,0,1,0,0,0,0
68488454,0,0,0,0,0,0,0,0,0,1,0,0,0
70133113,0,0,1,0,1,0,0,0,0,0,0,0,0
73176813,0,0,0,0,0,0,0,0,0,0,0,0,1
73288089,0,1,0,0,0,0,0,1,0,0,0,0,0
73309104,0,0,0,0,0,0,0,0,0,0,0,0,1
73309169,0,0,0,0,0,0,0,0,0,0,0,0,1
73983619,0,0,0,0,1,0,0,0,0,0,0,0,0
74462895,0,1,0,0,0,0,1,0,0,0,0,0,1
74463251,0,0,0,0,0,1,0,0,0,0,0,0,1
74593700,0,1,1,0,0,1,0,0,0,0,0,0,0
74594512,0,0,1,0,0,0,0,0,0,0,0,0,0
75838500,0,0,0,0,0,1,0,0,0,0,0,0,1
78635188,0,1,1,0,0,0,0,0,0,0,0,0,0
79377069,0,1,0,0,0,0,0,0,0,0,0,0,0
83925875,0,1,0,0,1,0,0,0,0,0,0,0,0
83930026,0,1,1,0,1,0,0,0,0,0,0,0,0
83930265,0,0,0,0,0,0,0,1,0,0,0,0,0
83931188,0,1,0,0,0,1,0,0,0,0,0,0,0
84899330,0,0,0,0,0,1,0,0,0,0,0,0,0
88607303,0,0,1,0,0,0,0,0,0,0,0,1,0
95691495,0,1,1,0,0,0,0,0,0,0,0,0,0
97338103,1,0,1,0,0,1,0,0,0,0,0,1,0
97349883,0,0,1,0,0,1,0,0,0,0,0,1,0
105919946,1,0,1,0,0,1,0,0,0,0,0,0,0
106745952,0,0,1,0,0,1,0,0,0,0,0,0,1
114724405,0,0,0,0,0,1,0,0,0,0,0,0,0
114949611,0,0,1,0,0,0,0,0,0,0,0,0,0
114950026,0,0,1,0,0,0,0,0,0,0,0,0,0
114950258,0,0,1,0,0,0,0,0,0,0,0,0,0
114950378,0,0,1,0,0,0,0,0,0,0,0,0,0
114950712,0,0,1,0,0,0,0,0,0,0,0,0,0
114950840,0,0,1,0,0,0,0,0,0,0,0,0,0
114963296,1,0,1,0,0,1,0,1,0,0,1,1,0
115037283,0,0,0,0,0,0,0,0,0,0,0,1,0
117852878,0,0,0,0,0,0,0,0,0,0,1,0,0
118469207,0,0,1,0,0,0,0,0,0,0,0,0,1
119327830,0,0,1,0,1,0,0,0,0,0,0,0,0
120627852,0,0,0,0,0,1,0,1,0,0,0,0,0
120628104,0,0,0,0,0,1,0,0,0,0,0,0,0
120628187,0,0,0,0,0,1,0,0,0,0,0,0,0
121955014,0,0,0,0,0,0,0,0,1,0,0,0,0
121955277,0,0,0,0,0,0,0,0,0,1,0,0,0
122632231,0,0,0,0,0,0,0,0,0,0,0,0,1
122683927,0,0,0,0,0,0,0,0,0,0,0,0,1
131848054,0,0,0,0,0,0,0,0,1,0,0,0,0
132796557,0,0,0,0,0,0,0,0,0,1,0,0,0
135279661,0,0,0,0,0,1,0,0,0,0,0,0,0
140599019,0,0,0,0,0,1,0,0,0,0,1,0,0
145236783,0,1,0,0,0,0,0,0,0,0,0,0,1
145236847,0,0,1,0,0,0,0,0,0,0,0,0,0
145237175,0,1,0,0,0,0,0,0,0,0,0,0,0
147818007,0,1,0,0,0,0,0,0,0,0,0,0,1
149451315,1,0,0,0,0,0,0,0,0,0,0,0,1
149451662,1,0,0,0,0,0,0,0,0,0,0,0,0
149452291,1,0,1,0,0,0,0,0,0,0,0,0,0
152312782,0,0,0,0,0,0,0,0,0,0,0,0,1
154720603,0,0,0,0,0,0,0,0,0,0,0,0,1
155560165,0,0,1,0,0,0,0,1,0,0,0,0,1
155562712,0,1,1,0,0,0,0,0,0,0,0,0,0
155563096,0,1,0,0,0,0,0,0,0,0,0,0,0
158328092,0,0,0,0,0,1,0,0,0,0,0,1,0
159496807,0,0,0,0,0,0,0,0,0,0,0,0,1
161166356,0,0,0,0,0,0,0,0,0,0,0,0,1
161301224,0,0,0,0,0,0,0,0,0,0,0,1,0
162145983,0,0,0,0,0,1,0,0,0,0,0,0,0
